Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
9/29/2016,BRITANNIA,EQ,3404.2,3430,3435,3199.7,3258.8,3285.55,3323.52,168170,5.58916E+13,16735,90849,0.5402
9/30/2016,BRITANNIA,EQ,3285.55,3280,3387.3,3250.05,3369,3364,3337.75,120206,4.01217E+13,18271,58013,0.4826
10/3/2016,BRITANNIA,EQ,3364,3397.85,3522,3380,3481.5,3485.55,3444.55,129680,4.46689E+13,13205,59376,0.4579
10/4/2016,BRITANNIA,EQ,3485.55,3484,3485,3436.25,3485,3475.35,3462.08,92818,3.21343E+13,11991,56900,0.613
10/5/2016,BRITANNIA,EQ,3475.35,3480,3506,3440.5,3467.85,3460.5,3461.99,206313,7.14254E+13,20447,148683,0.7207
10/6/2016,BRITANNIA,EQ,3460.5,3489.9,3497.95,3441.8,3468,3467,3470.85,59465,2.06394E+13,10954,30217,0.5081
10/7/2016,BRITANNIA,EQ,3467,3467,3475,3379.85,3390,3386.65,3405.91,168780,5.74849E+13,17409,114393,0.6778
10/10/2016,BRITANNIA,EQ,3386.65,3390,3410.75,3370.6,3380.55,3376.8,3387.99,54748,1.85486E+13,10124,33576,0.6133
10/13/2016,BRITANNIA,EQ,3376.8,3369,3369,3289,3334.8,3325.45,3308.62,161322,5.33754E+13,27023,99738,0.6183
10/14/2016,BRITANNIA,EQ,3325.45,3354,3354,3295,3340,3330.75,3317.77,70676,2.34487E+13,10473,35656,0.5045
10/17/2016,BRITANNIA,EQ,3330.75,3335.3,3335.45,3287.65,3312,3306.4,3305.94,108441,3.585E+13,17179,77656,0.7161
10/18/2016,BRITANNIA,EQ,3306.4,3306.5,3320.6,3245,3270.15,3264.6,3270.6,139269,4.55493E+13,25088,85984,0.6174
10/19/2016,BRITANNIA,EQ,3264.6,3283.9,3350,3280,3319,3316.9,3316.29,173746,5.76192E+13,14690,98495,0.5669
10/20/2016,BRITANNIA,EQ,3316.9,3317,3355,3301,3320,3313.15,3319.07,121382,4.02875E+13,24183,85137,0.7014
10/21/2016,BRITANNIA,EQ,3313.15,3335,3345,3304.5,3311,3310.7,3313.61,63515,2.10464E+13,15246,42455,0.6684
10/24/2016,BRITANNIA,EQ,3310.7,3270.3,3329.55,3270.3,3310,3307.9,3306.18,73215,2.42062E+13,9188,50293,0.6869
10/25/2016,BRITANNIA,EQ,3307.9,3308.4,3322.65,3279.95,3293.25,3295.35,3298.42,91094,3.00466E+13,22860,63812,0.7005
10/26/2016,BRITANNIA,EQ,3295.35,3290,3308.85,3250.7,3276,3265.8,3270.01,87960,2.8763E+13,15388,55229,0.6279
10/27/2016,BRITANNIA,EQ,3265.8,3250,3269.15,3195,3245.4,3212.1,3230.14,217025,7.01022E+13,20343,160929,0.7415
10/28/2016,BRITANNIA,EQ,3212.1,3234,3329,3231.75,3301.15,3311.95,3290.17,107954,3.55187E+13,19578,50197,0.465
10/30/2016,BRITANNIA,EQ,3311.95,3311.95,3328,3301.15,3320,3315.7,3314.68,12617,4.18213E+12,1258,6569,0.5206
11/1/2016,BRITANNIA,EQ,3315.7,3315,3340,3267.95,3325,3330.55,3320.5,128594,4.26997E+13,12537,86357,0.6715
11/2/2016,BRITANNIA,EQ,3330.55,3278,3313.95,3271,3305,3302.6,3292.88,118002,3.88567E+13,8702,74964,0.6353
11/3/2016,BRITANNIA,EQ,3302.6,3302.6,3325.5,3252.05,3303,3301.5,3301.45,129160,4.26415E+13,7711,95589,0.7401
